country,location_name,dedication,contract_type,satisfaction_with_income,looking_for_job,job_title,years_of_experience,seniority_in_company,time_in_position,work_modality,state,career,university,age,gender_identity,seniority,annual_base_pay
Argentina,Buenos Aires,Full-Time,Staff (permanent),2,"Yes, I am actively looking.",SysAdmin / DevOps / SRE,2.0,1.0,2.0,100% remoto,,,,35,Prefiero no decir,Junior,10080.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,1.0,0.0,0.0,Hybrid (in-person and remote),,,,22,Male,Junior,4032.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Developer,2.0,1.0,1.0,100% remoto,,,,36,Male,Junior,9475.2
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,18.0,18.0,11.0,Hybrid (in-person and remote),,,,38,Male,Senior,14112.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",AV tech,7.0,2.0,2.0,Hybrid (in-person and remote),,,,33,Male,Senior,16262.400000000001
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",UX Designer,4.0,1.0,1.0,Hybrid (in-person and remote),Incomplete,Diseño Gráfico,UNLP - Universidad Nacional de La Plata,28,Male,Semi-Senior,21108.528
Argentina,Entre Ríos,Part-Time,Contract,2,"No, but I am open to offers.",Consultant,3.0,0.0,0.0,100% remoto,Completed,Analista de Sistemas,,24,Prefiero no decir,Semi-Senior,7056.0
Argentina,Río Negro,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Data Scientist,2.0,1.0,0.5,100% remoto,,,,28,Male,Junior,15120.0
Argentina,Santa Fe,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Technical Leader,15.0,13.0,4.0,100% remoto,,,,44,Male,Senior,20764.0608
Argentina,Buenos Aires City,Full-Time,Staff (permanent),4,"No, I am very satisfied.",HelpDesk,5.0,1.0,1.0,Hybrid (in-person and remote),,,,26,Male,Semi-Senior,9072.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),1,"Yes, I am actively looking.",Developer,0.0,0.0,0.0,100% remoto,,,,34,Female,Junior,2428.9103999999998
Argentina,Buenos Aires City,Full-Time,Staff (permanent),1,"No, but I am open to offers.",Developer,0.0,0.0,0.0,100% remoto,Completed,Bootcamp,,44,Male,Junior,6160.3584
Argentina,Buenos Aires City,Full-Time,Staff (permanent),4,"No, but I am open to offers.",SysAdmin / DevOps / SRE,3.0,0.0,0.0,Hybrid (in-person and remote),,,,27,Female,Semi-Senior,11995.2
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, I am very satisfied.",BI Analyst / Data Analyst,2.0,1.0,0.0,100% remoto,,,,34,Female,Junior,9609.599999999999
Argentina,Buenos Aires,Full-Time,Remote (foreign company),4,"No, but I am open to offers.",SysAdmin / DevOps / SRE,5.0,1.0,1.0,100% remoto,Incomplete,Tecnicatura en Informática,ORT,48,Male,Semi-Senior,35280.0
Argentina,Río Negro,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,1.0,1.0,1.0,100% remoto,,,,35,Male,Junior,7123.200000000001
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Developer,4.0,0.0,0.0,100% remoto,Completed,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,28,Male,Semi-Senior,25200.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",SysAdmin / DevOps / SRE,15.0,3.0,6.0,Hybrid (in-person and remote),,,,35,Prefiero no decir,Senior,8131.200000000001
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,4.0,4.0,0.0,100% remoto,,,,25,Male,Semi-Senior,21840.0
Argentina,San Juan,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,0.0,0.0,0.0,100% remoto,In progress,Ingeniería Electrónica,,27,Male,Junior,5712.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",UX Designer,2.0,6.0,2.0,Hybrid (in-person and remote),Completed,Diseño de Imágen y Sonido,UBA - Universidad de Buenos Aires,29,Female,Junior,7728.0
Argentina,Buenos Aires,Full-Time,Remote (foreign company),3,"Yes, I am actively looking.",Developer,10.0,2.0,2.0,100% remoto,,,,35,Male,Senior,9072.0
Argentina,Chubut,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Coordinador TI,15.0,1.0,0.0,100% presencial,Completed,Analista Programador Universitario,,43,Male,Senior,17572.800000000003
Argentina,Corrientes,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Developer,0.0,0.0,0.0,100% remoto,,,,23,Male,Junior,4032.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,4.0,0.0,0.0,100% remoto,,,,29,Male,Semi-Senior,12096.0
Argentina,Corrientes,Full-Time,Remote (foreign company),4,"No, but I am open to offers.",QA / Tester,1.0,1.0,1.0,100% remoto,In progress,Licenciatura en Sistemas de Información,UNNNE - Universidad Nacional del Nordeste,26,Male,Junior,13240.584
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",QA / Tester,2.5,0.5,0.5,Hybrid (in-person and remote),In progress,Analista de Sistemas,Escuela Da Vinci,23,Male,Semi-Senior,5140.799999999999
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Architect,8.0,4.0,2.0,Hybrid (in-person and remote),,,,35,Hombre,Senior,19824.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,3.0,1.5,1.5,100% remoto,,,,28,Female,Semi-Senior,10080.0
Argentina,Buenos Aires City,Full-Time,Remote (foreign company),4,"No, I am very satisfied.",Product Manager,12.0,0.0,0.0,100% remoto,,,,33,Female,Senior,21000.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Data Engineer,12.0,2.0,2.0,100% remoto,,,,38,Male,Senior,15120.0
